127.0.0.1 - - [25/Jan/2016:22:45:51 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:03 +0800] "GET /questionclassifier/ HTTP/1.1" 200 5265
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:03 +0800] "GET /questionclassifier/resources/stylesheets/font-awesome.min.css;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 27470
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:03 +0800] "GET /questionclassifier/resources/stylesheets/bootstrap.min.css;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/stylesheets/bootstrap-switch.min.css;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 6478
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/stylesheets/animate.min.css;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 55527
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/stylesheets/jquery.dataTables.min.css;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 13616
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/stylesheets/checkbox3.min.css;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 7551
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/stylesheets/dataTables.bootstrap.css;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 5045
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/stylesheets/select2.min.css;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 15091
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/stylesheets/style.css;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 35574
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/stylesheets/flat-blue.css;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 28369
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/javascripts/bootstrap.min.js;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/javascripts/jquery.min.js;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 84384
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/javascripts/Chart.min.js;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 52101
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/javascripts/bootstrap-switch.min.js;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 14924
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/javascripts/jquery.matchHeight-min.js;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:04 +0800] "GET /questionclassifier/resources/javascripts/jquery.dataTables.min.js;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 81866
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:05 +0800] "GET /questionclassifier/resources/javascripts/dataTables.bootstrap.min.js;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [25/Jan/2016:22:46:05 +0800] "GET /questionclassifier/resources/javascripts/select2.full.min.js;jsessionid=FB5841468C129CB115F1F94AA49D928F HTTP/1.1" 200 73229
